Utility Number,Utility Name,State,country,Division_type,Division_id
56255,"Brilliant Energy, LLC",TX,US,NERC_REGION,
56265,Energy Plus Holdings LLC,PA,US,NERC_REGION,
56276,TransCanada Energy Marketing ULC,CA,US,NERC_REGION,WECC
56279,"Spartan Renewable Energy, Inc",MI,US,NERC_REGION,
56286,"Frontier Utilities, Inc.",TX,US,NERC_REGION,TRE
56288,Luminant Energy,TX,US,NERC_REGION,
56292,"Bounce Energy, Inc.",TX,US,NERC_REGION,
56360,Discount Power - (TX),TX,US,NERC_REGION,
56379,"MC Squared Energy Services, LLC",IL,US,NERC_REGION,
56408,"UGI Energy Services, Inc.",PA,US,NERC_REGION,
56441,Our Energy LLC,TX,US,NERC_REGION,
56496,"UP Power Marketing, LLC",MI,US,NERC_REGION,MRO
56501,"Palmco Power NJ, LLC",NY,US,NERC_REGION,
56504,Major Energy Electric Services,NY,US,NERC_REGION,NPCC
56521,"Devonshire Energy, LLC",MA,US,NERC_REGION,
56522,"Backyard Farms Energy, LLC",ME,US,NERC_REGION,
56526,"ITC Great Plains, LLC",KS,US,NERC_REGION,
56528,JP Morgan,NY,US,NERC_REGION,
56535,City of Williams - AZ,AZ,US,NERC_REGION,WECC
56536,Riverside Electric Cooperative,ID,US,NERC_REGION,
56546,Dominion Energy Marketing Inc.,VA,US,NERC_REGION,
56571,AP Holdings LLC,TX,US,NERC_REGION,
56573,"Palmco Power PA, LLC",NY,US,NERC_REGION,
56692,Marin Clean Energy,CA,US,NERC_REGION,WECC
56697,Ameren Illinois Company,MO,US,NERC_REGION,SERC
56734,Smart Prepaid Electric,TX,US,NERC_REGION,
56737,"Stream Energy Pennsylvania, LLC",PA,US,NERC_REGION,
56739,Gold Country Energy,AK,US,NERC_REGION,
56775,Entrust Energy,TX,US,NERC_REGION,
56784,NRG Power Marketing LLC,NJ,US,NERC_REGION,
56810,American Light and Power,TX,US,NERC_REGION,
56876,"Stream Energy Maryland, LLC",MD,US,NERC_REGION,
56890,Citigroup Energy Inc,TX,US,NERC_REGION,
56982,PBF Power Marketing LLC,NJ,US,NERC_REGION,
57037,Reliant Energy Northeast LLC,,US,NERC_REGION,
